codneg,iq,tipo,adm,urendrs,urendpercent,urenddatapag,urenddatabase,rendmed12rs,rendmed12percent,ppc,cvp,nnegmed,ifix,ncotistas,patrimonio
RCRB11,Geral,Tijolo: Escritórios,Rio Bravo Investimentos,0.8,0.4,2020-03-13,2020-03-05,0.65,0.32999999999999996,198.29,1,30645,0.75,23144,590233838.54
RCRI11B,Investidor Qualificado,Papel: CRIs,Oliveira Trust,28.1,NA,2020-01-15,2019-12-30,3.16,NA,1053.33,0,0,0,142,63214279.949999996
RDES11,Geral,Tijolo: Escritórios,Brasil Plural S.A. Banco Múltiplo,0.04,0.06,2020-02-14,2020-01-31,1.02,1.47,88.83,0.7799999999999999,951,0,2166,65915339.15
RDPD11,Geral,Papel: CRIs,Votorantim Asset Management,0.35,0.4,2020-03-13,2020-02-28,0.43000000000000005,0.49,97.67999999999999,0.91,307,0,863,105301271.88
RECT11,Geral,Indefinido,BRL Trust DTVM,0.8400000000000001,0.81,2020-03-13,2020-03-06,0.69,0.6599999999999999,99.74000000000001,1.05,13397,0.88,12455,503550592.36
REIT11,Investidor Qualificado,Papel: CRIs,BNY Mellon,26.01,1.99,2020-01-15,2019-12-30,8.01,0.61,1297.6699999999998,1.01,12,0,28,34117064.68
RFOF11,Geral,Papel: Fundo de Fundos,BRL Trust DTVM,0,NA,NA,NA,0,NA,97.5,0,42,0,2181,105124769.8
RNDP11,Geral,Papel: CRIs,Votorantim Asset Management,3.53,0.37,2020-03-13,2020-02-28,4.76,0.5,1087.3799999999999,0.8700000000000001,113,0,927,116873152.26
RNGO11,Geral,Tijolo: Escritórios,Rio Bravo Investimentos,0.47000000000000003,0.48000000000000004,2020-03-13,2020-02-28,0.49,0.5,102.57,0.96,11352,0.29000000000000004,15251,274464965.11
RSPD11,Investidor Qualificado,Tijolo: Desenvolvimento,Oliveira Trust,0,NA,NA,NA,0,NA,1001.3199999999999,0,2,0,26,25032996.419999998
RVBI11,Geral,Papel: Fundo de Fundos,BRL Trust DTVM,0,NA,NA,NA,0,NA,96.29,0,3430,0,9491,138659887.54
SAAG11,Geral,Tijolo: Bancário,Rio Bravo Investimentos,0.93,0.72,2020-03-13,2020-02-28,0.93,0.71,111.39,1.1700000000000002,13475,0.96,16072,627292921.93
SADI11,Geral,Papel: CRIs,Santander Securities Services Brasil DTVM,0.29000000000000004,0.31,2020-03-13,2020-02-28,0.19,0.2,100.14,0.92,4050,0,2870,318467698.97999996
SAIC11B,Investidor Qualificado,Tijolo: Escritórios,BRB DTVM,0.6599999999999999,1.09,2018-10-16,2018-10-01,0,0,63.06,0.97,6,0,62,90160925.14999999
SARE11,Geral,Indefinido,Santander Securities Services Brasil DTVM,0.22,0.22,2020-03-13,2020-02-28,0.05,0.04,100.16,1.01,9626,0,4613,360571082.18
SCPF11,Geral,Tijolo: Shoppings,BR-CAPITAL,0.05,0.41000000000000003,2020-03-13,2020-03-05,0.06,0.48000000000000004,11.55,1.12,2652,0,4364,48522250.48
SDIL11,Geral,Tijolo: Galpões,Rio Bravo Investimentos,0.52,0.47000000000000003,2020-03-13,2020-02-28,0.6,0.54,95.4,1.1600000000000001,48202,0.93,34195,455081776.13
SDIP11,Geral,Tijolo: Escritórios,BRL Trust DTVM,0.56,0.56,2020-03-13,2020-02-28,0.19,0.19,93.92,1.06,7453,0,5254,339695038.35
